accelmonth,accelday,accelmonthalt,acceldayalt,amunet,ashsraw,bpaqscale,cosmed,dass,dexa,HEALTH,bloodCobasData,bloodCobasData,bloodElisasData,bloodMultiplexData,bloodIgfData,cantabDMS,cantabERT,cantabMOT,cantabPAL,cantabSWM,isi,psqi,ipaq,mriashs,mrisfs,fmri,sf36,godin,fooddiary,amunetall
valid_min,day,valid_min,day,aevcomments,icv,current,t,depression,BMC,a_rbpd,bdnf,Prolactin,Ghrelin,GH,IGF1,DMSCC,ERTMDCRTA,MOTML,PALFAMS,SWMBE,total,c1,pa,left_CA1,left_Hippocampal_tail,accProportions_Obj_3,PF,strenuous,weight,aev_comments
counts_vert,valid_min,counts_vert,valid_min,scscomments,left_CA1,past,speed,anxiety,BMD,a_rbps,,Insulin,CathepsinB,Leptin,,DMSL0SD,ERTMDCRTD,MOTSDL,PALMETS,SWMBE4,,c2,mvpa,left_CA2,left_subiculum,accProportions_Obj_5 ,RP,moderate,energy,aev_mean_angdev
counts_ap,counts_vert,counts_ap,counts_vert,aev,left_CA2,total,grade,stress,fatmass,a_rhr,,HGH,BetaHydroxy,BDNF,,DMSL12SD,ERTMDCRTF,MOTTC,PALNPR,SWMBE6,,c3,sitting,left_DG,left_CA1,accProportions_Loc_3,BP,light,protein,aev_mean_distdev
counts_ml,counts_ap,counts_ml,counts_ap,ev,left_DG,,rpe,total,leanmass,b_rbpd,,Cortisol,,IGFBP7,,DMSL4SD,ERTMDCRTH,MOTTE,PALTA,SWMBE8,,c4,walking_days,left_CA3,left_hippocampal-fissure,accProportions_Loc_5,GH,sweat,total_fat,aev_mean_duration
counts_sum,counts_ml,counts_sum,counts_ml,av,left_CA3,,vo2,,percentbodyfat,b_rbps,,,,IL1,,DMSLADSD,ERTMDCRTS,,PALTA2,SWMDE,,c5,walking_time,left_head,left_presubiculum,accProportions_Bind_3,VT,total,sat_fat,aev_mean_pathdiff
counts_mag,counts_sum,counts_mag,counts_sum,dv,left_head,,vo2kg,,totalmass,b_rhr,,,,IL4,,DMSLSD,ERTMDCRTSU,,PALTA4,SWMDE4,,c6,moderate_days,left_tail,left_parasubiculum,accProportions_Bind_5,SF,,trans_facid,aev_mean_pathlength
cpm_vert,counts_mag,cpm_vert,counts_mag,scs,left_tail,,mets,,android_fm,bmi,,,,IL6,,DMSLSSD,ERTMDRTA,,PALTA6,SWMDE6,,c7,moderate_time,left_misc,left_molecular_layer_HP,RTmean_Obj_3,RE,,poly_fat,aev_mean_toterror
cpm_ap,cpm_vert,cpm_ap,cpm_vert,scd,left_misc,,rq,,gynoid_fm,bodymass,,,,IL10,,DMSMDL,ERTMDRTD,,PALTA8,SWMDE8,,total,vigorous_days,left_SUB,left_GC-ML-DG,RTmean_Obj_5,MH,,mono_fat,aev_se_toterror
cpm_ml,cpm_ap,cpm_ml,cpm_ap,sas,left_SUB,,hr,,BMI,dhand,,,,,,DMSMDL0,ERTMDRTF,,PALTE,SWMPR,,,vigorous_time,left_ERC,left_CA3,RTmean_Loc_3,PCS,,cholesterol,aev_std_toterror
cpm_sum,cpm_ml,cpm_sum,cpm_ml,sad,left_ERC,,sbp,,FM_H2,f_semitandem,,,,,,DMSMDL12,ERTMDRTH,,PALTE2,SWMS,,,,left_BA35,left_CA4,RTmean_Loc_5,MCS,,carbohydrate,aev_tot_duration
cpm_mag,cpm_sum,cpm_mag,cpm_sum,ses,left_BA35,,dbp,,AG_ratio,f_singleleg,,,,,,DMSMDL4,ERTMDRTS,,PALTE4,SWMTE,,,,left_BA36,left_fimbria,RTmean_Bind_3,,,sugars,age
steps,cpm_mag,steps,cpm_mag,sed,left_BA36,,o2pulse,,VAT_mass,f_tandem,,,,,,DMSMDLAD,ERTMDRTSU,,PALTE6,SWMTE4,,,,left_PHC,left_HATA,RTmean_Bind_5,,,starch,av_comments
sed_min,steps,sed_min,steps,,left_PHC,,sv,,VAT_vol,height,,,,,,DMSMDLS,ERTOCRTSD,,PALTE8,SWMTE6,,,,left_sulcus,left_Whole_hippocampus,RTsd_Obj_3,,,water,av_mean_angdev
light_min,sed_min,light_min,sed_min,,left_sulcus,,co,,VAT_area,hip,,,,,,DMSML,ERTOMDCRT,,PALTEA,SWMTE8,,,,left_Hippoc,right_Hippocampal_tail,RTsd_Obj_5,,,alcohol,av_mean_distdev
life_min,light_min,life_min,light_min,,left_Hippoc,,vevco2_slope,,WB_Tscore,ndhand,,,,,,DMSML0,ERTOMDRT,,PALTEA2,SWMWE,,,,right_CA1,right_subiculum,RTsd_Loc_3,,,fibre,av_mean_duration
mod_min,life_min,mod_min,life_min,,right_CA1,,vevco2_intercept,,WB_Zscore,risk,,,,,,DMSML12,ERTORTSD,,PALTEA4,SWMWE4,,,,right_CA2,right_CA1,RTsd_Loc_5,,,ash,av_mean_pathdiff
vig_min,mod_min,vig_min,mod_min,,right_CA2,,oues,,lhip_BMC,semitandem,,,,,,DMSML4,ERTTFAA,,PALTEA6,SWMWE6,,,,right_DG,right_hippocampal-fissure,RTsd_Bind_3,,,thiamin,av_mean_pathlength
lightlife_min,vig_min,lightlife_min,vig_min,,right_DG,,hrr1,,lhip_BMD,singleleg,,,,,,DMSMLAD,ERTTFAD,,PALTEA8,SWMWE8,,,,right_CA3,right_presubiculum,RTsd_Bind_5,,,ribofavin,av_mean_toterror
mvpa_min,lightlife_min,mvpa_min,lightlife_min,,right_CA3,,hrr3,,lhip_Tscore,tandem,,,,,,DMSMLS,ERTTFAF,,PALTA12,SWMS6,,,,right_head,right_parasubiculum,d_Obj_3,,,niacin,av_se_toterror
active_min,mvpa_min,active_min,mvpa_min,,right_head,,hrr5,,lhip_Zscore,waist,,,,,,DMSPC,ERTTFAH,,PALTE12,SWMBE12,,,,right_tail,right_molecular_layer_HP,d_Obj_5,,,niacin_eq,av_std_toterror
sed_percent,active_min,sed_percent,active_min,,right_tail,,,,LH2,whr,,,,,,DMSPC0,ERTTFAS,,PALTEA12,SWMDE12,,,,right_misc,right_GC-ML-DG,d_Loc_3,,,vitamin_c,comments
light_percent,sed_percent,light_percent,sed_percent,,right_misc,,,,App_LH2,,,,,,,DMSPC12,ERTTFASU,,,SWMSX,,,,right_SUB,right_CA3,d_Loc_5,,,vitamin_e,data_valid
life_percent,light_percent,life_percent,light_percent,,right_SUB,,,,LS_BMC,,,,,,,DMSPC4,ERTTH,,,SWMTE12,,,,right_ERC,right_CA4,d_Bind_3,,,toco_alpha,date
mod_percent,life_percent,mod_percent,life_percent,,right_ERC,,,,LS_BMD,,,,,,,DMSPCAD,ERTTHA,,,SWMWE12,,,,right_BA35,right_fimbria,d_Bind_5,,,vitamin_b6,dv_comments
vig_percent,mod_percent,vig_percent,mod_percent,,right_BA35,,,,LS_Tscore,,,,,,,DMSPCS,ERTTHD,,,,,,,right_BA36,right_HATA,beta_Obj_3,,,vitamin_b12,dv_mean_angdev
lightlife_percent,vig_percent,lightlife_percent,vig_percent,,right_BA36,,,,LS_Zscore,,,,,,,DMSPEGC,ERTTHF,,,,,,,right_PHC,right_Whole_hippocampus,beta_Obj_5,,,total_folate,dv_mean_distdev
mvpa_percent,lightlife_percent,mvpa_percent,lightlife_percent,,right_PHC,,,,,,,,,,,DMSPEGE,ERTTHH,,,,,,,right_sulcus,,beta_Loc_3,,,folic_acid,dv_mean_duration
active_percent,mvpa_percent,active_percent,mvpa_percent,,right_sulcus,,,,,,,,,,,DMSTC,ERTTHS,,,,,,,right_Hippoc,,beta_Loc_5,,,folate_food,dv_mean_pathdiff
mvpa_counts_vert,active_percent,mvpa_counts_vert,active_percent,,right_Hippoc,,,,,,,,,,,DMSTC0,ERTTHSU,,,,,,,Total_Hippoc,,beta_Bind_3,,,folate_DFE,dv_mean_pathlength
mvpa_counts_ap,mvpa_counts_vert,mvpa_counts_ap,mvpa_counts_vert,,Total_Hippoc,,,,,,,,,,,DMSTC12,ERTUHRA,,,,,,,,,beta_Bind_5,,,vitamin_a,dv_mean_toterror
mvpa_counts_ml,mvpa_counts_ap,mvpa_counts_ml,mvpa_counts_ap,,,,,,,,,,,,,DMSTC4,ERTUHRD,,,,,,,,,c_Obj_3,,,retinol,dv_se_toterror
mvpa_counts_sum,mvpa_counts_ml,mvpa_counts_sum,mvpa_counts_ml,,,,,,,,,,,,,DMSTCAD,ERTUHRF,,,,,,,,,c_Obj_5,,,beta_carotine_eq,dv_std_toterror
mvpa_counts_mag,mvpa_counts_sum,mvpa_counts_mag,mvpa_counts_sum,,,,,,,,,,,,,DMSTCS,ERTUHRH,,,,,,,,,c_Loc_3,,,beta_carotine,ev_comments
num_mvpa_bouts,mvpa_counts_mag,num_mvpa_bouts,mvpa_counts_mag,,,,,,,,,,,,,DMSTE,ERTUHRS,,,,,,,,,c_Loc_5,,,sodium,ev_mean_angdev
num_vig_bouts,num_mvpa_bouts,num_vig_bouts,num_mvpa_bouts,,,,,,,,,,,,,DMSTEAD,ERTUHRSU,,,,,,,,,c_Bind_3,,,potassium,ev_mean_distdev
mvpa_bouted,num_vig_bouts,mvpa_bouted,num_vig_bouts,,,,,,,,,,,,,DMSTEC,,,,,,,,,,c_Bind_5,,,magnesium,ev_mean_duration
vig_bouted,mvpa_bouted,vig_bouted,mvpa_bouted,,,,,,,,,,,,,DMSTECAD,,,,,,,,,,,,,calcium,ev_mean_pathdiff
guideline_min,vig_bouted,guideline_min,vig_bouted,,,,,,,,,,,,,DMSTED,,,,,,,,,,,,,phosphorus,ev_mean_pathlength
,guideline_min,,guideline_min,,,,,,,,,,,,,DMSTEDAD,,,,,,,,,,,,,iron,ev_mean_toterror
,,,,,,,,,,,,,,,,DMSTEP,,,,,,,,,,,,,zinc,ev_se_toterror
,,,,,,,,,,,,,,,,DMSTEPAD,,,,,,,,,,,,,selenium,ev_std_toterror
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iodine,ev_tot_duration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,protein_kjpercent,expt_id
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fat_kjpercent,insert_date
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,satfat_kjpercent,insert_user
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transfat_kjpercent,interval
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,carb_kjpercent,project
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alcohol_kjpercent,sad_comments
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fibre_kjpercent,sad_mean_angdev
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,others_kjpercent,sad_mean_distdev
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monofat_percent,sad_mean_duration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polyfat_percent,sad_mean_pathdiff
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,satfat_percent,sad_mean_pathlength
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n3fattyacid,sad_mean_toterror
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F18D2CN6,sad_se_toterror
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F18D3N3,sad_std_toterror
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F20D5N3,sample_id
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F22D5N3,sample_quality
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F22D6N3,sas_comments
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tryptophan,sas_mean_angdev
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grains,sas_mean_distdev
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grains_refined,sas_mean_duration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wholegrains,sas_mean_pathdiff
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wholegrains_percent,sas_mean_pathlength
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fruit,sas_mean_toterror
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,citrus,sas_se_toterror
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other_fruit,sas_std_toterror
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fruit_juice,sas_tot_duration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fruit_juice_percent,scd_comments
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vegetables,scd_mean_angdev
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark_green_vegetables_serve,scd_mean_distdev
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_vegetables,scd_mean_duration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tomatoes,scd_mean_pathdiff
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other_RO_vegetables,scd_mean_pathlength
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,starchy_vegetables,scd_mean_toterror
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,potatoes,scd_se_toterror
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other_starchy_vegetables_serve,scd_std_toterror
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,starchy_vegetables_percent,scd_tot_duration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,legumes,scs_comments
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other_vegetables,scs_mean_angdev
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,protein_foods,scs_mean_distdev
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_meats,scs_mean_duration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poultry,scs_mean_pathdiff
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eggs,scs_mean_pathlength
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,processed_meats,scs_mean_toterror
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ_meats,scs_se_toterror
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,seafood_high,scs_std_toterror
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,seafood_low,scs_tot_duration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuts_seeds_serve,sed_comments
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,legumes_protein,sed_mean_angdev
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soy_products,sed_mean_distdev
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dairy,sed_mean_duration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,milk,sed_mean_pathdiff
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cheese,sed_mean_pathlength
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yoghurt,sed_mean_toterror
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,milk_alternatives,sed_se_toterror
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oil,sed_std_toterror
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,solid_fat,ses_comments
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,added_sugars,ses_mean_angdev
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,added_sugars_kj,ses_mean_distdev
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,added_sugars_percent,ses_mean_duration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alcoholic,ses_mean_pathdiff
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unclassified_wt,ses_mean_pathlength
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unclassified_wt_percent,ses_mean_toterror
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unclassified_kj,ses_se_toterror
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unclassified_kj_percent,ses_std_toterror
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caffeine,ses_tot_duration
